MSE : 21.57181739807129, MAE : 2.2144041061401367 

 Nb params : 49.843M, FLOPs : 92.683G, Training time : 1.5425305555555555 m/epoch,  

 Now-casting metrics : 

['csi_10.0', 0.6529106862907262]

['hss_10.0', 0.742754373972036]

['pod_10.0', 0.8066374504124385]

['far_10.0', 0.22593952822084515]

['csi_20.0', 0.5496954933487939]

['hss_20.0', 0.6807424823775107]

['pod_20.0', 0.764953835802621]

['far_20.0', 0.33858959677732536]

['csi_30.0', 0.27320602046839454]

['hss_30.0', 0.4198887439420439]

['pod_30.0', 0.6947910269898017]

['far_30.0', 0.6895335323893889]

['csi_40.0', 0.025763231746606528]

['hss_40.0', 0.050104168077294994]

['pod_40.0', 0.6319226750261233]

['far_40.0', 0.9738442657958901]

