MSE : 22.70035743713379, MAE : 2.3094801902770996 

 Nb params : 49.843M, FLOPs : 92.683G, Training time : 1.1088663194444448 m/epoch,  

 Now-casting metrics : 

['csi_10.0', 0.6484602129321535]

['hss_10.0', 0.7372520702215669]

['pod_10.0', 0.7900976436773738]

['far_10.0', 0.21657618854628866]

['csi_20.0', 0.5656264581245042]

['hss_20.0', 0.6925527699354722]

['pod_20.0', 0.727956451087984]

['far_20.0', 0.28276475553002245]

['csi_30.0', 0.35088375002145256]

['hss_30.0', 0.5085182544329929]

['pod_30.0', 0.45665251389042516]

['far_30.0', 0.3976258699087452]

