MSE : 21.19265365600586, MAE : 2.32966685295105 

 Nb params : 49.843M, FLOPs : 92.683G, Training time : 1.9207618055555549 m/epoch,  

 Now-casting metrics : 

['csi_10.0', 0.6513428656628033]

['hss_10.0', 0.7415599717691512]

['pod_10.0', 0.8084239975179988]

['far_10.0', 0.22977092522994105]

['csi_20.0', 0.5542693726745196]

['hss_20.0', 0.6848764114540169]

['pod_20.0', 0.7680901493494507]

['far_20.0', 0.33433023701207365]

['csi_30.0', 0.3236156608576615]

['hss_30.0', 0.47915093965361805]

['pod_30.0', 0.6701019539109075]

['far_30.0', 0.6150552036661106]

['csi_40.0', 0.029364122554981387]

['hss_40.0', 0.05690675267047309]

['pod_40.0', 0.6246751779459948]

['far_40.0', 0.9701085046683499]

